瞓觉为真	睡觉才是
唯有佢唔肯	只有他不愿意。
冇办法，我唯有噉做	没办法，我只好这样做
唯有我嚟做系啦	只好我来做算了。
你唔好周围唱人哋	你不要到处说人家的不是。
呢只画眉真好唱口	这只画眉唱得好。
对呢项措施我哋要唱好唔好唱衰	对这项措施我们要赞扬不要抨击。
人哋嘅事唔使你周围唱生晒	人家的事，用不着你来到处张扬。
唱衰佢	把他的丑陋东西抖出来。
鼻哥啄	鼻子尖儿。
畀蚊啄亲	给蚊子叮了。
是非啄	专门拨弄是非的人。
你讲话系啄住我嘅	你说话是针对着我的。
啄住佢去做	督促他去做
要搞清呢件事，啄住佢冇错	要搞清楚这件事，钉着他没错。
啋! 你乱噏啲乜嘢	呸!你胡说些什么! 
啋! 冇人有你咁衰	去你的! 没人有你这样讨厌!
饮啖茶	喝口茶
食两啖饭	吃两口饭
咬一啖	咬一口。
啜咗一啖	亲了一口。
系啝，我谂起身嘞	对啊，我想起来了
啲𩠌味道唔错啝	这菜味道不错呀
记住咯啝	记住啦。
佢唔喺度啝	他不在这里呢。
车辘啡啡咁漏气	轱辘刺刺地漏气。
将两块钢板啤紧佢	把两块钢板焊在一起。
快啲啦	快点吧
畀我啦	给我吧。
就噉啦	就这样吧
冇啦	没有了吗? 
会开完咗啦	会开完了吗? 
落雨啦	下雨了吗?
呢件事你应承咗啦吗	这件事你不是答应了吗? 
而家肯去啦吗	现在肯去了吧? 
当然系你去啦吗	当然是你去了
去啦吗，怕乜啫	去吧，怕什么。
大家啦啦声，一阵间就做完咯	大家抓紧点的，一会儿就干完了
啦啦声去啦	快点去吧
啦啦声做嘢	迅速地干活。
唔系啩	不是吧?
借畀我，得啩	借给我，行吧?
唔系啫	不是的
佢呃你啫	他骗你的
唔好去啫	不要去啊!
条柱畀虫啮烂	柱子给虫蛀烂了。
噉唔系得啰	这不就行了吗!
系噉嘅啰	是这样的了
落雨啰	下雨啦! 
够啰㖞	够啦
好去啰㖞	该去了。
做完啰咩	做完了吗?
细蚊仔成晚啰啰挛	小孩儿整夜焦躁不安。
去啰喂	该去了。
够钟啰噃	时间到了
冇滚水啰噃	开水没有了
走啰噃	该走了。
呢个臊虾仔咁啰挛，梗系有病嘞	这小婴儿闹得那么厉害，肯定是有病了。
我个肚有啲啰挛	我的肚子有点不舒服。
呢啲事由得佢喇，何必咁啰气	这些事随便它吧，何必这么劳神!
佢啱出咗去	他刚好出去了
真啱，讲佢佢就嚟	真巧， 说到他他就来了。
我啱到	我刚到
佢啱嚟冇几耐，情况唔熟	他才来不久，情况不熟。
去都啱喇	该去了
煮饭啱喇	该做饭了。
佢两个好	他俩很合得来。
佢啱先重喺度	他刚才还在这里
啱先你有电话	刚才有你的电话。
你呢句话好啱听	你这句话很中听。
佢啱啱翻咗去	他刚刚回去了
呢袋米啱啱一百斤	这袋米刚好一百斤。
呢度啱啱线放得落一张床	这里刚刚好放得下一张床
佢啱啱线走咗	他刚刚走了
佢嚟到啱啱线够钟	他来到的时候刚好到点了。
你呢种做法我好啱心水	你这种做法很合我意。
呢堆货我点过，啱数 	这堆货物我清点过，数目符合。
条条题都答啱晒	每道题目都答对了
通通畀我计啱晒	全让我算对了。
呢件衫啱晒我	这件衣服非常合适我
啱晒佢嘅口味	正合他的口味。
得你参加，啱晒啦	你能参加，太好了
佢肯支援我哋，啱晒咯	他愿意支援我们，太好了!
畀佢住嗰间房，真系啱晒合尺咯	让他住那个房间，真是完全合适了
叫佢扮嗰个角色啱晒合尺喇	叫他扮演那个角色最适合不过了。
呢个丝母同嗰个螺丝啱牙	这个螺母跟那个螺栓吻合。
配呢个原厂嘅零件实啱牙	用这个原厂的零件肯定配合得好。
佢两个好啱牙	他们俩很合得来。
呢件衫佢着最啱荞	这件衣服他穿最合适。
件衫我着唔啱身	这件衣服我穿不合身
睇起嚟几啱身噃	看起来挺合身的。
呢啲系乜嘢	这些是什么东西?
你啲衫放喺边度	你那些衣服放在什么地方? 
畀啲佢	给他一点儿
佢好咗啲喇	他好了一点儿了
呢种药贵啲	这种药贵一些
今日热啲	今天热一些。
呢间房嘅书，啲啲都系佢嘅	这间屋子的书统统都是他的
啲啲蕉都系两毫子一斤	所有的芭蕉都是两毛钱一斤。
一啲啲就够喇	一丁点儿就够了。
唔使你咁啲多	不用你多嘴。
啷高个木箱	把箱子垫高
将块板啷上柜顶	把木板架在柜子顶上。
发啷捩	发脾气。
三轮车车篷太啷风唔好踩	三轮车车篷太兜风不好蹬。
人呢喂	人呢? 
唔知系唔系呢喂	不知道是不是呢?
佢嚟喇	他来了
人哋走晒喇	人家走光了。
快啲行喇	快点走
记住喇	记住啦!
你做完喇吗	你做完了吗?
胶喉	塑料管子; 橡胶管子
水喉	自来水管。
声喉	嗓音; 嗓门
豆沙喉	沙哑的嗓。
平喉	生腔
子喉	旦腔
大喉	花脸腔。
我饱到上喉咙椗咯	我饱得东西都上喉头了。
行咗成日都冇水饮，搞到我喉干颈渴	走了一天都没水喝，弄得我渴得要命。
佢好喉急，一阵间就想学会	他很心急，一下子就想学会
唔好咁喉急，慢慢抄	不要那么焦急，慢慢抄。
喊得好凄凉	哭得好伤心
批评佢两句就喊噉口，太冇骨气喇	批评他两句就哭丧着脸，太没骨气了。
呢个人恶到鬼噉，成日喊打喊杀	这个人凶恶极了，整天嚷着要打要杀的。
咪喐	别动! 
风吹到树身都喐埋	风吹得树干都动了
只脚痹到唔喐得	腿麻得动不了。
唔好喐我嘅嘢	不要弄我的东西。
佢以为冇佢唔得，喐下就话唔做	他以为缺少他不行，动不动就要撂挑子。
唔好喐亲就嗌交	不要动不动就吵架
佢喐亲就睇医生食药	他动不动就去看病吃药。
呢张台有啲喐动	这张桌子有点动
坐得耐要喐动下至得	坐的时间长了要活动一下才行。
佢喐啲就喊	她动不动就哭。
条鱼重有啲喐喐下	鱼还有点儿动。
人哋写字你唔好喺度喐喐贡	人家写字你不要在这儿动个不停
成日喐喐贡做乜呀	整天动来动去干什么?
咪喐手	别动( 我的东西) ! 
呢件事要快啲喐手至得	这件事要赶快动手才行。
喝喝把刀	把刀钢一钢。
人哋开紧会，你唔好喺度喝生晒啦	人家正在开会，你不要在这里大声吆喝。
喫乜嘢呀	吃什么? 
好喫	好吃。
我听日喺屋企	我明天在家里
趁大家都喺度，你快啲讲啦	趁大家都在场，你快点说吧。
你喺边度等我	你在哪儿等我? 
喺礼堂开会	在礼堂开会
佢生喺一九四八年	他生于一九四八年。
唔好成日喺度嘈	别整天在那儿吵。
佢喽我去睇电影	他约我去看电影。
佢喽我买咗嗰部单车	他劝我买那辆自行车。
“喽当唔值钱” 	熟语。主动邀约别人往往不被重视
只狗喺度嗅嚟嗅去	狗在那里闻来闻去。
你嗌乜呀	你喊什么
嗌佢过嚟	叫他过来
嗌名	喊名字; 点名。
再嘈人哋就嗌㗎喇	再吵闹人家就要骂的了。
要讲团结，唔好嗌交	要讲团结，不要吵架。
佢两个成日嗌霎	他俩整天争吵。
佢哋平时就有啲嗌霎嘅喇	他们平日就有点矛盾的了。
嗍咗一啖烟	吸了一口烟。
晏昼要嗍翻一觉	中午要小睡一会儿。
爬咗两步山，猛咁嗍气	爬了两步山，拼命喘气。
好嗍气	很吃力
真嗍气	真费劲
一个人拎咁多嘢够你嗍气啦	一个人拿那么多东西，真够戗。
食到嗒嗒声	吃得津津有味。
嗰间学校	那所学校
嗰啲	那些。
呢啲好过嗰啲	这些比那些好。
你坐嗰头啦	你坐那边吧。
你去嗰度做乜	你去那里干什么? 
放喺台嗰度	放在桌子那儿
喺办公室嗰度开会	在办公室那儿开会。
开会嗰日参加嘅人唔知几多呀	开会那天参加的人不知有多少啊。
你唔注意戒烟，等你咳嗰时你就辛苦嘞	你不注意戒烟，到你咳的时候你就难受了。
嗰柳手嘢好得人惊	那档子事很叫人害怕
佢搞嘅又系嗰柳手嘢	他搞的又是那套货色! 又说“嗰手嘢”。
你估你嗰槓嘢人哋唔知道咩	你以为你那档事儿人家不知道吗?
你放啲喺嗰笪得咯	你放在那儿可以了。
嗰阵你喺边度	那个时候你在哪儿? 
我细个嗰阵	我小的时候
到嗰阵你就知喇	到时候你就知道。
嗰阵时呢度有个树林	那个时候这里有个树林。
嗱，单车喺嗰度	喏，自行车在那儿
嗱，畀你	欸，给你!
咁大个女讲话重咁嗲	那么大的女孩说话还那么娇。
个桶嗲嗲咁漏水	水桶滴滴答答地漏。
快啲啦，嗲咁耐做乜吖	快点吧，扯那么长时间干吗!
漏雨漏到嗲嗲渧	漏雨漏得滴答不停。
噉亦得嗻	这样也行嘛! 
大家都系一样嗻	大家都是一样的
话嗻	说是这么说。
噉都得嘅	这样还成? 
呢本书系你嘅	这本书是你的? 
做乜噉嘅	为什么会这样? 
都好嘅	也好。
好大间嘅屋	很大的房子
有噉嘅规定咩	有这样的规定吗? 
唔怕嘅	不怕的
广东好热嘅	广东很热的
佢实嚟嘅	他一定来的。
呢本书系你嘅咩	这本书真是你的吗?
佢好得意嘅啫	他是很有趣的
佢去嘅啫	他真的去。
你去唔去嘅啫	你到底去不去?
你放咗入去就唔攞得翻出嚟嘅啰㖞	你放了进去就不能再取出来的啦。
你同意就得嘅啰咩	你同意就行了吗?
大家都系噉嘅喇	大家都是这样的了。
你同佢嘈起嚟，大家赚冇瘾嘅嗻	你跟他吵起来，大家落得没趣罢了
你啲啲事都话佢，佢又唔理你嘅嗻	你一点点事都说他，他又不理你的。
要交钱嘅噃	得交钱的啊。
唔好嘈	不要吵
嘈到死	吵得要命。
唔好同佢嘈	不要跟他争吵。
呢度嘈喧巴闭，冇办法睇书	这里闹哄哄的，没办法看书
嗰啲人喺度嘈喧巴闭，好似趁圩噉	那些人吵吵嚷嚷，像赶集似的。
成日嘈嘈闭	整天吵吵闹闹
静啲，唔好嘈嘈闭	安静点，不要闹个不停。
咪喺度嘈生晒	别在这里吵吵闹闹的影响别人。
道理嘛，唔使我多讲	道理吗，不用我多说
呢件事嘛，等我考虑下先	这件事吗，让我先考虑考虑。
你知到就得嘞	你知道了就行了
呢次有办法嘞	这下可有办法了
食埋呢包药就好嘞	吃完这服药就一定会好的。
有嘢睇	有东西看
平嘢	便宜货。
做嘢	干活儿
呢个嘢真唔听话	这家伙真不听话
买油要带嘢嚟装	买油要带家伙盛。
打咗两嘢	打了两下
一嘢就扑过嚟	一下就扑过来。
翻一次工就嘥好多钱	返工一次就浪费很多钱
又嘥咗一部车	又糟蹋了一辆车子。
咁好嘅机会嘥咗	这么好的机会给错过了。
嘥到佢一钱不值	把他贬得一钱不值
唔应该嘥人哋	不应该诋毁人家。
同你讲我都嫌嘥口水呀	跟你说我都嫌白费唇舌。
你同佢拗直程系嘥声坏气	你跟他争论简直是白费口舌。
做呢样嘢好嘥心机㗎	做这工作是很费神的。
做呢啲嘢真系嘥心机挨眼瞓呀	做这些活儿真是费力不讨好啊。
唔应该嘥挞米饭	不应该糟蹋米饭。
咁好嘅机会错过咗，真系嘥晒	这么好的机会错过了，多可惜呀!
咁曳嘅料想做家具，嘥气啦	这么次的木料想用来做家具，白费劲的。
嘴一啖	亲一下。
睇佢嘴𠴕𠴕噉，唔知有乜意见	看他撇着嘴，不知有什么意见。
噉做唔系几妥噃	这样做不大妥当吧? 
记得同我买噃	记住给我买啊! 
系噃	可也是啊! 
佢几叻噃	他真能干啊
系几好手势噃	手艺的确不错。
讲话唔好咁噆气	说话别那么啰唆。
噉嘅机会唔多	这样的机会不多
个个都话系噉	大家都说是这样
噉都得嘅	这还行!
佢大力到只牛噉	他力气大得像牛似的
佢好似有病噉	他像有病似的
老鼠噉眼	像老鼠似的眼睛
癐到乜噉	累得什么似的。
当噉跌咗落地	当的一声掉在地上
一步一步噉行	一步一步地走
佢个面红红噉，好似发烧	他的脸红红的，像是发烧
揸住手噉教佢	手把手地教他。
我畀噉好多佢喇	我给了他很多了
佢要噉成半	他要了足有一半
减噉两成	减少了两成
佢嘅病好噉啲咯	他的病好一些了
你件衫好似长噉啲	你的衣服似乎长了一点。
吓，噉又得，真估唔到	啊，居然可以这样，真想不到。
你话唔买好，噉又系噃	你说不买好，可也是啊。
噉唔系，我都话过咯	可不是吗，我都说过了。
如果落雨噉就唔去咯	如果下雨那就不去了。
不然噉样罢啦	要不然这样算了
大家都似你噉样就好咯	大家都像你这样就好了。
咁细个就食烟，噉重得掂 	这么小就抽烟，这还了得!
食嘢要噍烂先吞	吃东西要嚼烂了才咽
噍唔喐	嚼不动。
咪听佢乱噏	别听他胡说
唔知佢噏乜	不知道他说些什么
乱噏廿四	胡说八道。
睇清至讲，唔好噏三噏四	看清楚了再说，别说三道四。
讲话要有根据，咪噏得出就噏	说话要有依据，不要信口开河。
咪喺度噏风	别在这里胡说八道。
噒榄核	啃橄榄核
噜便	那边
讲呢讲噜	说这说那
嫌呢嫌噜	嫌这嫌那。
畀狗噬咗一啖	给狗咬了一口。
佢嚂咗	他输了。
你得闲就嚟啦	你有空就来吧
攞张纸嚟	拿张纸来。
佢头先揾你嚟	他刚才找你来着
啱先你讲乜嘢嚟呀	刚才你说什么来着? 
企住嚟	站着罢; 就站着行了
坐住嚟倾啦	就坐着谈吧。
呢啲系水嚟㗎	这是水———而不是别的液体
佢系队长嚟㗎	他是队长———而不是一般队员
等我睇下佢系乜嘢嚟㗎先	让我看看它到底是什么东西。
你三点钟以前出发重嚟得切	你三点以前出发还来得及。
你一表扬佢佢就嚟神	你一表扬他他就来劲儿。
细蚊仔要听话啲，唔好咁嚟葵	小孩要听话一点，不要那么顽皮
呢个仔好嚟葵㗎	这个小孩很调皮的。
条脷好嚡	舌头很涩
呢块板未刨过太嚡喇	这块板没刨过太粗糙了。
你成日嚡嚡声做乜呀	你整天唉声叹气的干什么呀?
张纸嚡熠熠，冇办法写字	纸太粗糙了，没法写字。
佢行得好嚤	他走得很慢
食得嚤	吃得慢。
佢做嘢好嚤佗㗎	他干活动作很慢的
大家做嘢要快手啲，唔得咁嚤佗㗎	大家干活的速度要快一些，不能那么慢吞吞的。
一嚿石	一块石
一嚿泥	一块土
一嚿饭	一团饭。
一嚿溜一嚿溜唔知系乜嘢嚟	一块块的不知是什么东西。
佢欢喜到四万噉口	他高兴得合不拢嘴。
就喺屋里头嘅，四周揾下啦	就在房子里的，到处找找吧
公园里面四周都揾过喇	公园里到处都找过了。
我四围都揾过	我到处都找过。
佢嘅字写得好四正	他的字写得很端正
摆得好四正	摆得很端正。
个嘢四淫齐嚟㗎	那家伙什么恶习都染上了。
佢系一个四点六企嘅人，就系死板啲	他是一个严格按规矩办事的人，就是死板点。
呢间办公室四点六企噃	这间办公室整齐洁净呀。
回礼	退回部分贺礼。
要收百分之三嘅回佣	要收百分之三的回扣。
呢两日回南，地都湿晒	这两天刮南风反潮，地有点湿。
你因乜唔参加呀	你因为什么不参加? 
你嗰条棍因住㩧 亲人	你的那根棍子当心打着人
因住跌落去	当心摔下去
因住打烂咗	当心打破了。
唔使秤喇，因住咁上下就得啦	不用称了，估量着大体差不多就行了。
路唔好行，你因住嚟	路不好走，你当心点儿。
唔知系乜因由呢	不知是什么原因呢?
两梅酌	两桌喜酒。
呢条围有两个姓	这个村子有两个姓。
你固然之紧急，但系人哋重更急添	你固然紧急，但人家更紧急呢
噉做固然之好，不过未到时候	这样做固然好，不过还没到时候。
呢个西瓜圆揼揼	这个西瓜圆溜溜的。
呢个袋装到圆轱辘噉	这个口袋装得圆鼓鼓的。
呢度嘅土谈同广州话有啲唔同	这里的土话跟广州话有点不同。
我会在心嘅，你放心啦	我会记在心上的，你放心吧。
佢重在生	他还活着
佢在生嗰阵好威㗎	他活着的时候很威风的。
趁圩	赶集
呢度近街，成日都好圩冚	这里近街，整天都很噪闹。
啱有啲成绩就咁圩冚做乜	刚有一点成绩就到处张扬干什么。
咁多人喺度圩巴嘈闭，唔知做乜	那么多人在那儿吵吵闹闹，不知道在做什么。
呢啲苹果有啲酸酸地	这些苹果有点儿酸
佢个面有啲红红地	他的脸有点儿红
衫重湿湿地	衣服还有点儿湿
佢嘅字写得靓靓地	他的字写得还算漂亮。
放喺地下	放在地上
唔好坐喺地下	不要坐在地上。
住喺地下	住在一楼
五号地下	五号一楼
地下近街，嘈啲	楼下近街，吵一点。
你写个地埗畀我啦	你给我写个地址吧。
就系呢个地埗咯	就是这个地方了。
到咗地方就写信番嚟啦	到达目的地就写信回来吧。
呢间厂地藏咗好多钢材	这家工厂藏有很多钢材。
佢有好多地藏	他有不少私蓄。
开圳	开水渠。
一个坎种一樖树	一个坑种一棵树。
唔好讲埋啲坏鬼嘢	不要尽说那些乌七八糟的事儿
你啲坏鬼习惯要改嘞	你的坏习惯可要改了。
木箱就坐喺个角落头啦	木箱就放在角落里吧! 
煲坐喺风炉度	锅放在炉子上。
大家坐低，唔好企住	大家坐下，不要站着!
坐低啲嘢唞下先啦	把东西放下歇一歇吧!
呢份工坐实系佢做嘅	这项工作肯定是他干的了
呢次比赛你哋坐实冠军喇	这次比赛你们稳拿冠军了。
呢次评选先进工作者佢坐梗有份	这次评选先进工作者他肯定有份。
呢位工程师系坚嘅	这位工程师是真才实学的。
你件名牌衫坚嘅吗	你的名牌衫是真的吗?
你买到坚嘢呀	你买到了好东西啊。
起坜	分畦; 起垄。
成樖荔枝坠晒落嚟	整棵荔枝垂了下来。
坠断条绳	把绳子拽断了。
坤𠶧佢	哄好他
畀人坤咗	让人骗了。
一坺烂湴	一摊烂泥。
手脚都冻坼晒	手脚都冻皲裂了
支竹坼咗	竹子裂了。
声喉坼	嗓子沙哑。
垃圾唔好乱倒，唔好做垃圾虫	垃圾不要乱扔，不要做乱扔垃圾的人。
滚水有垽	开水有沉淀物。
叫佢埋嚟	叫他靠近这儿来。
疮埋口喇	疮合口了。
推埋去	推进去
扫埋嚟	扫过来
个盒唔合得埋	盒子合不起来
放埋啲	放得靠里一点
黐埋一笪	黏在一块儿
缩埋一嚿	缩作一团。
攞埋呢个盆入去	连这个盆子也拿进去
鼻哥都红埋	连鼻子都红了
玩埋呢两日先翻去	再玩两天才回去
咁多行李，你一个人搦得埋咩	那么多行李，你一个人全拿得了吗? 
要埋咁多做乜吖	还要那么多干什么?
佢坐喺埋便	他坐在里边
食完饭至埋单	吃完饭再开单。
你埋去睇睇系乜嘢	你走过去看看是什么东西。
刀伤埋口喇	刀伤愈合了。
行埋嚟	走近来
企埋嚟	站过来。
埋年咯，大家都唔得闲	接近年底了，大家都很忙。
唔知喺边度埋手好	不知打哪儿入手好
做呢件事，真系好似狗咬龟噉，冇定埋手	干这件事，真像狗啃乌龟，无处下手。
两个人唔埋栏点做呀	两个人不合拍怎么做呢?
喺呢个埗头落船	在这个码头上船。
冇埞放	没地儿放
入便有埞坐	里边有地方坐。
呢度放一张床唔够埞方	这里放一张床地方不够。
过埠	指过去华侨出国。
一埲墙	一堵墙
一埲板障	一堵板墙。
一日行七堂路	一天走七十里路。
地下一堆𨀤一堆𨀤系乜嘢	地上一堆堆的是什么?
帆布床中间堕晒落嚟	帆布床中间坠了下来。
嗰度堕角啲，冇咁旺	那里比较偏僻，没有那么繁华。
输到塌地	输得一塌糊涂
衰到塌地	坏极了
穷到塌地	穷得一无所有。
塔埋支笔	把笔套上。
塔实度门	把门锁上。
呢件事我塞古盟憎，冇办法处理	这件事我对情况一点也不了解，没办法处理。
我塞古盟憎接受任务，一啲思想准备都冇	我糊里糊涂接受任务，一点思想准备都没有。
塞车嚟迟咗两个字	由于交通堵塞，晚到了十分钟。
呢啲𩠌冇盖冚住，塳晒尘啰	这些菜没有盖盖着，蒙上尘土了
塳咗一头泥尘	蒙了一头尘土。
扫地唔洒水，塳到鬼噉	扫地不洒水，呛得要命。
呢度啲塳尘好犀利	这里的灰尘很厉害。
生壅	活埋。
啲粟米要壅多啲泥	玉米要多培些土。
好细声	声音很小。
一句话都唔声	一句话都不说
佢成日都唔声嘅	他整天都不说话。
冇人敢声	没人敢吭声。
唱到声喉都沙晒	唱得嗓子都沙哑了。
佢嘅声喉真大	他的嗓门真大。
有冇声气	有没有希望
有声气喇	有希望了
冇晒声气	一点希望都没有。
佢坐喺角落头声都唔声	他坐在角落里一声不吭。
一班学生分两处考试	一班学生分两个地方考试
边个喺处	谁在这儿? 
我喺同学处温习功课	我在同学家里温习功课。
你复一下呢张单	你核算一下这张单子。
外出好冷	外面很冷。
外江佬	外省人。
呢个壶外皮都唔错	这个壶表面很不错。
细佬哥咪咁多事	小孩子别那么爱管闲事
乱噏乜嘢吖，多事	胡说些什么，多嘴!
记得多句嘴提醒佢呀	记得多说一句话提醒他啊。
事情多啰啰，我点行得开	事情多多的，我怎么离得开? 
牛油多士	黄油干面包片。
呢件事麻烦多多喇	这件事太麻烦你了。
你呢个人唔好多多事干	你这个人别多管闲事。
你高过佢多多声啦	你比他高得多了
而家好过旧时多多声咯	现在比过去好得太多了。
我手头多多少少重有啲钱	我手里多少还有一点钱。
要多少就够喇	要一点儿就够了
佢呢排有多少进步	他最近有一些进步。
呢次多得你帮助，唔系就搞唔掂喇	这次多亏你帮助，不然就不好办了。
呢个机构嘅人多数都系广东人	这个机构的人大部分都是广东人。
我多数唔去咯，你唔使等我	我多半儿是不去了，你不必等我
我话今日多数会落雨	我说今天很可能会下雨。
呢个仔真多计	这孩子鬼主意真多
“矮仔多计”	矮小子计谋多。
真你多谢喇	真该谢谢你了
多谢晒	谢谢
好夜至瞓	很晚才睡
咁夜重嘈乜呀	这么晚了还嚷嚷什么! 
九点钟开会夜过头喇	九点钟开会太晚了。
你重想好似旧时噉虾人呀，夜啲啦	你还想像以前那么欺负人吗，妄想! 
你想搦番去呀，夜啲啦	你想拿回去吗，办不到!
今晚要翻夜工	今晚要上夜班。
夜晚好静	晚上很安静。
佢惯咗做夜游神，晚晚两三点至瞓	他习惯了做夜猫子，每天晚上要两三点才睡。
夜麻麻重唔瞓做乜嘢吖	那么晚还不睡干什么? 
夜麻麻唔好去咯	晚上黑黑的，别去了。
你有，我够有咯	你有，我还不是有! 
佢错你够错啦	他错，你不也错吗! 
人哋够唔噉做咯	人家不也没这样干吗! 
你够会唱啦	你还不是也会唱!
你都够我高咯	你已经有我一般高了
你都够大学生嘅水平喇	你已经达到大学生的水平了
我唔够你叻	我没有你聪明。
呢条棍太细，唔够力	这根棍子太小，承受不了压力
条绳要打双至够力	绳子要做成双股才经得住。
呢场球赛真够劲	这场球赛真带劲。
呢碗汤唔够味	这碗汤不够咸。
我行到好够味	我走得很够戗。
你唔够佢嚟	你比不过他
饮白酒你唔够我嚟喇	喝白酒你是比不过我了。
你唔够佢挭	你敌不过他。
重畀十个嚟就够数喇	再拿十个来就够了
争两个先至够数	差两个才够
够数咁滞喇	差不多齐了。
一百文就够有凸咯	一百元就绰绰有余了。
食到够本	吃个够。
卖五百文至够皮	卖五百块钱才够本。
呢啲嘢食一碗就够皮	这些东西吃一碗就够
你攞咁多重唔够皮呀	你拿那么多还不够吗?
睇到够算咯	看够了。
呢次癐到佢够算咯	这次累得他够戗。
够胆就放马过嚟	有胆量就放马过来———跟人挑战时用语
一个人去我唔够胆	一个人去我不敢。
嗰个嘢明知犯法都重够胆死	那个家伙明知犯法还要去干
好危险个噃，你够胆死吗	很危险的，你敢吗?
唔见咗又揾番，算你够运	丢了又找回来，算你走运。
够钟上堂未呀	到上课的时间没有? 
重未够钟	还没有到点。
你够𦢊嘅话就去啦	你有胆量的话就去呗。
咁大，我唔要	这么小，我不要
咁大大个就想开车啦	这么小小的就想开汽车了? 
啲咁大个	小不点儿。
呢啲西瓜就系咁大㗎喇	这些西瓜就是这么大的了
冇几大	没多大。
大个咗好多	大了好多。
你大个要照顾细佬妹呀	你年纪大要照顾弟弟妹妹啊
咁大个重喊	那么大还哭。
大个仔啰，唔好成日玩喇	长大了，不要整天玩了。
你都大个女咯，要勤力呀	你都长大了，要用功啊。
大人大姐咪咁小气啦	都是大人了，别那么小气吧! 
做呢样嘢，大人大姐可以，细路仔就唔得	干这件事，大人可以，小孩就不行。
呢件蛋糕大件	这块蛋糕块儿大。
呢次大件事咯	这次事情严重了。
佢好大使	他很爱花钱
唔好咁大使	不要那么挥霍了
大使大食	大吃大喝。
佢咁大卖，人人都唔骚佢	他那么傲慢，人人都不理他。
佢好大只	他的个儿大
呢种猪最大只	这种猪个儿最大。
你大只骡骡，边个敢碰你吖	你个子大大的，谁敢碰你。
你就大叹咯	你活得够舒服的。
咁高跌落嚟，唔死算佢大命喇	那么高摔了下来，不死算他命大。
都十八九岁咯重系大唔透噉	都十八九岁了，还是像个孩子似的
呢个人正一大唔透	这个人幼稚得很。
咁大喉榄都得嘅	这样贪多求大哪里行呢? 
你咁大喉榄，因住挣坏嚟	你胃口那么大，小心撑坏了肚子。
要虚心啲，唔好咁大嘢	要虚心一点，架子不要那么大。
咁好嘅布就攞嚟擦地，真大嘥	那么好的布就拿来擦地，真浪费
大嘥大使	大手大脚花钱。
你个仔好大嚿	你儿子个儿真大
牛肉切成大嚿啲至好炆	牛肉切得块儿大一点才好炖。
个组长讲话大声夹冇准，冇人听佢笛	这位组长说话只嚷嚷，很不靠谱，没人听他的。
呢度大大话话都有一千人	这里粗略估计都有一千人。
𡃇嘞，搞出个大头佛添	糟糕，弄出大麻烦来了! 
呢条友系大头佛嚟㗎	这家伙是个爱惹麻烦的人。
充大头鬼	充阔气。
你间大宝号生意几好吗	你的商店生意可好吗? 
我唔知你嘅大宝号叫乜嘢	我不知你的名字叫什么来着?
呢班大帝真讨厌	这班家伙真讨厌。
睇大戏	看粤剧
做大戏	演粤剧。
你使钱咁大手骨做乜吖，悭啲啦	你花钱何必那么大手大脚的，节省一点吧。
呢啲嘢我哋嗰度大把	这些东西我们那里有的是
佢有大把公仔书	他有很多小人儿书。
佢而家大把世界	他现在很富裕、日子过得很好。
而家至二十几岁，你大把世界啦	现在才二十多岁，你前途无量啊
喺呢个开发区工作就大把世界咯	在这个开发区工作，机会自然很多。
大拿拿几千文一下就拎出去	大大的几千块钱一下子就拿出去。
要节约啲，唔好咁大揈	要节省一些，不要这样大手大脚的。
佢生得好大揈㗎	他长得个子很大
呢包嘢咁大揈嘅	这包东西那么巨大的。
我大早话你知㗎喇	我早已告诉你了。
系你大晒呀	你以为你是老大?
你问下大朋啦	你问问大家吧!
系大朋嘅事	是大家的事。
呢次考试居然畀我大步𨂾过	这次考试居然让我顺利通过。
醒一啲，唔好咁大泡和	放聪明点，别那么糊涂。
我讲嘅唔系大炮，真㗎	我说的不是大话，是真的。
你咁大炮，边个信你吖	你那么爱吹，谁信你! 
唔好咁大炮咯	别那么夸夸其谈了。
你食烟太大瘾喇	你抽烟的瘾头太大了。
呢条村大细老嫩有成千人	这条村子男女老少有上千人。
我同佢又唔系同学，又唔系亲戚，大缆扯唔埋	我跟他既不是同学也不是亲戚，毫无关系。
躽起个大肚腩	挺着个大肚皮。
花布我唔中意大花大朵嘅	花布我不喜欢大花儿的。
佢乜都唔理，一味大觉瞓	他什么都不管，只是睡大觉
唔理几嘈佢都可以大觉瞓	不管多吵闹他都可以睡他的大觉。
系真嘅，唔系大话	是真的，不是谎话。
你唔信就同你计一下，大话怕计数	你不信就跟你算一算，骗人的怕算细账。
呢件事好简单，唔使咁大谂头	这件事很简单，不必那么费思量。
呢个人唔理人乜滞，鬼咁大资爷	这个人不怎么理人，傲慢得很。
食大辘藕	抽大烟。
呢次大镬咯	这次问题可严重了
你搞得咁大镬，叫我点收科呀	你弄得这么严重，叫我怎么收场呢。
乜咁大阵仗呀，求其就得啦	为什么那么隆重，随便就可以了
一啲小事就搞得咁大阵仗	一点小事就搞得那么大的排场。
你搞得咁大阵仗，目的系为乜	你虚张声势地搞目的是为了什么
好似猪咁大食	像猪一样地能吃。
大使大食	大吃大喝。
大食懒嘅人最冇用	好吃懒做的人最没有出息。
